------------------------------------------------------------
2025-05-12 09:12:22 UTC   Services Configuration Information
------------------------------------------------------------

                                                                                                              Prefetch  ---------------------- Auditing -----------------------
Package                    Service Name                              Stateless  Caching  Cache TTL  Prefetch  Level     Enable          Log On                 Include Pipeline
MCUMConsumer               ...Consumer.services.priv:getUSSDSession  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...sumer.services.priv:insertAttachments  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...umer.services.priv:insertBulkMessages  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...ervices.priv:insertCharacteristicData  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services.priv:insertCharset  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...vices.priv:insertCommunicationMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...nsertCommunicationMessageLinkReceiver  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...mer.services.priv:insertCountryConfig  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...rvices.priv:insertMessageToDocumentDB  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...ices.priv:insertMessageToOpenSearchDB  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services.priv:insertParty    true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...mer.services.priv:insertPublicHoliday  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...Consumer.services.priv:insertReceiver  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...r.services.priv:insertSchedulePayload  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services.priv:insertSender   true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...:insertSenderCommunicationMsgLinkData  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...nsumer.services.priv:insertUMReceiver  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ....services.priv:isBatchIdExistsinCache  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...Consumer.services.priv:mapAttachments  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...Consumer.services.priv:mapBulkMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ....services.priv:mapCommunicatioMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...mer.services.priv:mapConfidentialData  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...mer.services.priv:mapGetCommunication  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...mer.services.priv:processBulkMessages  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...rvices.priv:replaceAliasinQueryString  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...vices.priv:replaceParametersInContent  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...er.services.priv:replaceinQueryString  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...rvices.priv:replaceinQueryString_sort  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...archForCommunicationMessageOpenSearch  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...vices.priv:searchForMultichoiceIdInDD  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...er.services.priv:sendResponseToUnitel  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...r.services.priv:status_dateConvertion  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services.priv:updateCharset  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...mer.services.priv:updateCountryConfig  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...mer.services.priv:updatePublicHoliday  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...onsumer.services.priv:updateReceivers  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services.priv:updateSenders  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ....services.priv:upsertBulkTransactions  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...sumer.services.priv:upsertCallbackUrl  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...vices.priv:upsertCommunicationMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...services.priv:upsertDocumentDBMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...services.priv:upsertOpenSearchMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...vices.priv:upsertTransactionAnalytics  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...ces.priv:validateAndReplaceCharToGsm7  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...es.priv:validateAndReplaceGsm7ForUssd  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...umer.services.priv:validateBulkHeader  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...mer.services.priv:validateBulkMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...er.services.priv:validateCharacterSet  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...ces.priv:validateCommunicationMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...umer.services.priv:validateGetRequest  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...ces.priv:validateRetriveListUMrequest  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...onsumer.services.priv:validateSubject  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...vices.priv:validateTemplateAndContent  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services:addReceiver         true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...rvices:bulkCreateCommunicationMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...onsumer.services:callbackClickatelSMS  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...onsumer.services:callbackClickatellWA  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...sumer.services:cancelScheduledMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...r.services:createCommunicationMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...umer.services:deleteTemplateFromCache  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...umer.services:endCellulantUSSDSession  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services:endMCEUSSDSession   true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services:endUSSDSession      true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services:getCommunication    true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...onsumer.services:getCommunicationById  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...umer.services:getCommunicationMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ....services:getCommunicationMessageList  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...umer.services:infobipCallbackForEmail  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...onsumer.services:infobipCallbackForWA  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services:insertAttachments   true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...r.services:insertCommunicationMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services:insertReceiver      true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services:insertSender        true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services:mapAttachments      true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...sumer.services:mapCommunicatioMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...Consumer.services:mapGetCommunication  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services:processUnitelUSSD   true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...nsumer.services:receiveBCXSMSCallback  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...services:receiveCallBackForInfobipSMS  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...sumer.services:receiveEmailDLRFromAWS  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...services:receiveEmailOpenClickFromAWS  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...mer.services:receiveIMIOtpSMSCallback  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...nsumer.services:receiveIMISMSCallback  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...services:receiveUSSDRequestFromUnitel  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services:registerCallback    true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...services:replyCallbackForClickatellWA  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...er.services:replyCallbackForInfobipWA  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...sumer.services:resendCommunicationMsg  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ....services:respondCellulantUSSDSession  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...nsumer.services:respondMCEUSSDSession  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services:respondUSSDSession  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...mer.services:respondUnitelUSSDSession  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...unicationMessagesByElasticSearchQuery  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...retrieveCommunicationMessagesByFilter  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...sumer.services:sendSourceCallbackData  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services:setTemplateToCache  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...er.services:startCellulantUSSDSession  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...Consumer.services:startMCEUSSDSession  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services:startUSSDSession    true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...sumer.services:startUnitelUSSDSession  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.services:unregisterCallback  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...sumer.services:upsertBulkTransactions  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...:upsertIndividualCommunicationMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...:upsertIndividualTransactionAnalytics  true       false    N/A        false     N/A       Never           Error                  Never           
